1164	1164
2006	2006
2154	2154
3025	3025
4209	4209
4335	4335
5300	5300
6119	6119
6602	6602
7038	7038
9303	9303
9388	9388
9499	9499
10421	10421
11356	11356
11681	11681
12187	12187
12723	12723
13899	13899
14248	14248
14405	14405
15106	15106
5553	5553
5553	5553
20293	20293
20553	20553
4213209	4213209
22403	22403
22443	22443
22672	22672
22962	22962
23215	23215
24023	24023
24134	24134
24180	24180
24278	24278
24570	24570
25309	25309
988	988
988	988
30120	30120
30485	30485
30485	30485
19136	19136
8781	8781
31869	31869
32355	32355
33817	33817
35305	35305
36259	36259
36259	36259
36259	36259
36259	36259
36956	36956
37719	37719
24134	24134
39153	39153
42927	42927
44798	44798
45107	45107
45568	45568
46098	46098
20533	20533
15984	15984
48709	48709
50455	50455
50455	50455
50617	50617
30485	30485
24039	24039
15973	15973
16897	16897
52640	52640
52640	52640
53019	53019
53609	53609
54199	54199
55183	55183
57233	57233
57649	57649
58851	58851
8929052	8929052
59602	59602
47092	47092
61120	61120
61650	61650
61926	61926
8929371	8929371
244683	244683
63887	63887
64423	64423
64436	64436
64841	64841
65256	65256
65445	65445
65703	65703
65734	65734
65849	65849
66818	66818
67091	67091
61138	61138
67530	67530
60088	60088
68411	68411
68501	68501
25611	25611
70353	70353
70503	70503
64269	64269
1832956	1832956
72976	72976
73365	73365
73771	73771
65202	65202
65446	65446
75480	75480
76013	76013
76898	76898
8102790	8102790
78869	78869
25032	25032
62328	62328
80205	80205
8931049	8931049
81102	81102
81341	81341
81770	81770
82453	82453
8346170	8346170
84146	84146
77041	77041
84287	84287
85558	85558
3887734	3887734
86171	86171
68145	68145
86573	86573
86707	86707
86904	86904
86948	86948
87111	87111
87225	87225
87344	87344
87344	87344
87344	87344
88284	88284
88375	88375
88402	88402
88890	88890
64424	64424
76898	76898
69065	69065
67519	67519
85281	85281
91883	91883
77320	77320
71387	71387
93820	93820
93854	93854
61472	61472
70534	70534
94818	94818
79801	79801
95460	95460
96353	96353
96721	96721
97700	97700
75540	75540
61926	61926
79843	79843
79843	79843
69012	69012
19343	19343
104224	104224
67444	67444
104589	104589
62951	62951
105114	105114
8933710	8933710
106023	106023
76166	76166
76917	76917
69042	69042
107218	107218
107514	107514
29867	29867
108162	108162
1737599	1737599
446070	446070
1832289	1832289
1834479	1834479
456275	456275
1830477	1830477
